                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6323,                 2.8715,                 1.7732,                0.80531,                0.12405,                0.37143,                0.21093,                 1.5203,                 3.0686,                 2.0028,             0.00046442,             0.00046442,             0.00046442
                      1,                 1.6923,                 2.4447,                 1.8302,                0.48954,                0.40511,                0.38112,                0.18532,                 1.7593,                  2.702,                 2.1592,             0.00092213,             0.00092213,             0.00092213
                      2,                 1.7185,                 2.4225,                 1.8613,                0.37286,                0.45373,                0.37026,                0.16163,                 1.9788,                 2.8716,                 2.3533,               0.001361,               0.001361,               0.001361
                      3,                 1.7256,                 2.3687,                 1.8577,                0.41766,                0.36747,                0.35109,                0.17464,                 1.8099,                 2.8875,                 2.3365,              0.0013441,              0.0013441,              0.0013441
                      4,                  1.877,                 2.4139,                 1.9703,                0.51648,                0.42544,                0.42916,                0.21739,                 1.7543,                 2.9288,                 2.2433,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.7498,                 2.3278,                 1.8591,                0.41955,                0.38255,                 0.3735,                0.18427,                 1.8971,                 3.0439,                 2.2823,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.7288,                 2.2625,                 1.8509,                0.50337,                0.50388,                0.48906,                0.23457,                 1.7681,                 2.3546,                 2.2152,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.7869,                 2.3873,                 1.9521,                0.45356,                0.41024,                0.39482,                 0.2033,                 1.8506,                 2.6315,                  2.257,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.7447,                 2.2734,                 1.8861,                0.60999,                0.53199,                 0.5649,                0.27052,                 1.8398,                 2.4245,                 2.3234,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.7295,                 2.2012,                 1.8982,                0.68454,                 0.4649,                0.51199,                0.26052,                 1.7287,                 2.3358,                 2.1745,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.7193,                 2.1856,                 1.8458,                0.52068,                0.50269,                0.48847,                0.22588,                  1.778,                 2.1541,                 2.0999,              0.0011744,              0.0011744,              0.0011744
                     11,                  1.707,                 2.1559,                 1.8359,                0.53578,                 0.5262,                0.51817,                0.24441,                 1.7433,                 2.1433,                 2.1092,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.7098,                 2.2309,                 1.8734,                0.64123,                0.57094,                0.59952,                0.30326,                   1.73,                 1.9547,                 2.1612,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.7327,                 2.1253,                  1.861,                0.53325,                0.44742,                0.47438,                0.23477,                 1.9921,                 2.1625,                 2.2483,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.6754,                 2.0525,                 1.8246,                0.57588,                 0.6153,                0.60117,                0.31418,                 1.7433,                 2.2622,                 2.1409,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.6595,                 2.0966,                 1.8229,                0.71271,                0.65472,                0.66349,                0.37762,                 1.6441,                 1.7024,                 2.0856,              0.0010329,              0.0010329,              0.0010329
                     16,                  1.612,                 1.9751,                 1.7754,                0.70815,                 0.6367,                 0.6481,                0.34697,                 1.6608,                 1.7166,                 2.0425,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.6636,                  1.961,                  1.804,                0.75279,                0.61732,                0.66944,                0.37945,                 1.5843,                 1.7309,                 2.0394,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.6762,                 2.0293,                 1.8304,                0.77957,                0.67095,                  0.703,                0.36116,                 1.7604,                 1.7903,                 2.0763,               0.000948,               0.000948,               0.000948
                     19,                 1.5611,                 1.8866,                 1.7304,                0.79196,                0.61777,                0.68601,                0.36699,                 1.6056,                 1.6934,                 2.0232,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.5522,                  1.904,                 1.7505,                0.79669,                0.62503,                0.68376,                0.39004,                 1.5382,                 1.6296,                 1.9846,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.5344,                 1.8521,                 1.7448,                 0.7548,                 0.6063,                0.65721,                0.37007,                 1.5492,                 1.6217,                 2.0857,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.5321,                 1.7814,                  1.706,                0.74456,                0.65206,                0.71778,                0.41118,                  1.518,                 1.6334,                 1.8988,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.5384,                  1.819,                 1.7215,                0.75593,                0.69231,                0.68545,                0.39472,                 1.5044,                 1.6355,                 1.9835,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.5337,                 1.8661,                 1.7189,                0.67907,                0.66426,                0.68121,                 0.4067,                 1.5293,                 1.5672,                 1.9538,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.5224,                 1.7874,                 1.7045,                0.72828,                0.69232,                 0.7119,                0.42574,                 1.5286,                 1.5655,                 1.8641,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.4815,                 1.7572,                 1.6856,                0.86108,                0.64526,                0.73244,                0.46308,                 1.4333,                 1.4287,                 1.8536,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.5252,                 1.7925,                 1.7249,                0.79334,                0.71759,                0.74491,                0.47727,                 1.4035,                 1.5233,                 1.8562,             0.00069335,             0.00069335,             0.00069335
                     28,                  1.497,                 1.7578,                 1.6995,                0.81055,                0.71907,                0.77631,                0.48288,                 1.4125,                 1.4381,                 1.8166,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.4304,                 1.5902,                 1.6625,                0.80065,                0.74486,                0.79747,                0.47873,                 1.4238,                 1.3652,                  1.849,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.4127,                   1.62,                 1.6073,                0.78516,                0.76796,                0.78532,                0.48096,                 1.4238,                  1.377,                 1.7884,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.4762,                 1.6637,                 1.6667,                0.84075,                0.71787,                0.78279,                0.49526,                 1.3665,                 1.3687,                 1.7626,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.4143,                 1.6029,                 1.6589,                0.86515,                0.73355,                0.81184,                0.51616,                 1.3422,                 1.2728,                 1.8096,             0.00055188,             0.00055188,             0.00055188
                     33,                 1.3204,                 1.5114,                 1.5743,                0.85538,                0.69338,                0.78442,                 0.5202,                 1.3296,                 1.2837,                 1.7972,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.4054,                 1.6079,                 1.6256,                0.88018,                0.72678,                0.79356,                0.50429,                 1.3469,                 1.2956,                 1.7936,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.3689,                 1.5788,                 1.6221,                0.78423,                0.77256,                0.80292,                0.49987,                 1.3413,                 1.3023,                 1.7698,               0.000467,               0.000467,               0.000467
                     36,                 1.3673,                 1.5227,                  1.593,                0.87602,                0.74017,                0.79115,                0.51225,                 1.3278,                 1.2791,                 1.7302,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.3726,                 1.5202,                 1.6231,                 0.8407,                0.78946,                0.81678,                0.53422,                 1.2982,                 1.2396,                 1.7189,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.3173,                 1.4831,                 1.5746,                0.84537,                0.77959,                0.82672,                0.53549,                 1.2711,                  1.199,                 1.7131,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.3202,                 1.5372,                 1.5693,                0.81872,                0.79517,                0.82443,                0.53457,                 1.2695,                 1.1966,                  1.704,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.2874,                 1.4358,                 1.5415,                0.84152,                0.78235,                0.83492,                0.55804,                 1.2497,                 1.1965,                 1.6776,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.3033,                 1.4502,                 1.5445,                0.82535,                0.78336,                0.82587,                0.55973,                 1.2742,                 1.1583,                 1.6993,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.2566,                 1.4029,                 1.5134,                 0.8711,                0.79283,                0.82947,                 0.5694,                 1.2339,                 1.1199,                 1.6646,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.2477,                 1.3321,                 1.4837,                0.90542,                0.74143,                0.83834,                 0.5738,                 1.2354,                 1.1214,                 1.6825,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.2873,                 1.4494,                 1.5574,                0.87097,                0.79831,                0.85004,                0.58698,                 1.1938,                 1.0788,                  1.645,             0.00021235,             0.00021235,             0.00021235
                     45,                 1.2209,                 1.3389,                 1.4844,                0.87408,                0.77891,                0.84109,                0.60048,                 1.1647,                 1.1136,                 1.6057,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.2367,                 1.3558,                 1.4977,                0.85699,                0.79808,                 0.8456,                0.60572,                 1.1634,                 1.0784,                 1.5842,             0.00015576,             0.00015576,             0.00015576
                     47,                 1.2298,                 1.3788,                 1.5073,                0.85088,                0.81691,                 0.8524,                0.60511,                   1.14,                 1.0497,                 1.5554,             0.00012747,             0.00012747,             0.00012747
                     48,                 1.2437,                 1.3527,                 1.5061,                0.84895,                0.83812,                0.86014,                0.61475,                 1.1174,                 1.0301,                 1.5416,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 1.2016,                 1.3196,                 1.4861,                 0.8514,                0.84249,                0.86059,                0.62096,                 1.1117,                 1.0292,                 1.5534,             7.0878e-05,             7.0878e-05,             7.0878e-05
